run,indices,signs,weights,results
1,"[6189, 9335, 8440, 5196, 1342, 1384, 6658, 2013, 4103, 4009]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0982022567714826, 1.320780500877354, 1.7366907495157957, 2.515070266436192, 4.033184698275349, 7.248192299607281, 13.668456433403273, 28.395057383844662, 64.22564626325581, 170.53294766624938]"
2,"[8684, 2962, 1513, 5348, 4571, 4656, 6696, 9986, 7966, 1313]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, -2.725552231681009, -4.499681390314641, -8.212104537845768, -16.568096887613898, -36.95185396426304, -91.10564583199599, -248.31319631613644]","[1, 1.1041321748467792, 1.3468585587885096, 1.8019767536651337, -2.6049839203419176, -4.187969600895451, -7.092511218860448, -14.080579476842509, -29.504060209995238, -68.71466281040358, -180.59484909572802]"
3,"[1141, 2960, 8299, 2130, 4903, 6535, 8689, 6138, 9942, 4044]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.1014929382985679, 1.331721703567279, 1.76570069067811, 2.5744816549331806, 4.201258465898329, 7.505557428894342, 14.586900280369171, 32.08125787977724, 78.0274859703879, 207.09417235756672]"
4,"[4333, 4457, 6189, 9439, 7043, 1308, 2563, 7241, 7326, 4859]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.094856841852068, 1.334166577396642, 1.7614342978020798, 2.6306747583547807, 4.261760917633305, 7.485491227788074, 15.082561354720843, 32.20698721380464, 76.6318764659537, 200.70604945276756]"
5,"[3007, 1470, 7351, 8681, 5138, 8687, 9942, 3215, 2485, 4135]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0882643973367778, 1.3285348076882533, 1.7796421019600537, 2.614761053713715, 4.151586630584484, 7.523581655462962, 14.917195287001473, 31.112736011619454, 69.81334251655863, 171.06818719897274]"
6,"[8222, 2038, 3626, 4751, 614, 7752, 1581, 6224, 4512, 4591]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0988584876561311, 1.3273703075323304, 1.749030488606874, 2.5298009269203066, 4.15549824239887, 6.87404654687529, 13.75026457945222, 29.37243708358802, 68.93330165732222, 175.4520280887835]"
7,"[1447, 8334, 8544, 8775, 6185, 9067, 8011, 839, 2283, 6608]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.102113342500578, 1.3290912081444795, 1.7530843469359223, 2.4550550792315886, 4.00625600287118, 6.955703629790424, 13.40027490360734, 24.58677933804886, 54.14434555999211, 131.0633944565819]"
8,"[1888, 8556, 8321, 2211, 430, 7350, 2647, 1540, 583, 4617]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, -36.95185396426304, -91.10564583199599, -248.31319631613644]","[1, 1.1028045945962017, 1.3436338502904934, 1.7967568785167154, 2.589189710592383, 4.205981112043434, 6.986101072860175, 14.054872362300225, -29.723606024236336, -69.86471484622315, -186.4078715082573]"
9,"[6800, 2669, 4493, 6487, 954, 7418, 9312, 9908, 1579, 3012]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, -1.3509409078031271, -1.825041336375937, -2.725552231681009, -4.499681390314641, -8.212104537845768, -16.568096887613898, -36.95185396426304, -91.10564583199599, -248.31319631613644]","[1, 1.100155849892628, -1.318294232495018, -1.7514372762504902, -2.5856323733101094, -4.2444718693652295, -7.584421254242574, -14.751674538665648, -31.48756954708588, -71.88704542119778, -190.52850490003416]"
10,"[2707, 1737, 811, 8152, 9262, 4564, 6472, 6006, 2472, 8761]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.104135375019713, 1.344240672324036, 1.7916221760104738, 2.5567210749222795, 4.098315145566233, 7.15165410131864, 14.089096070535208, 29.981267429696775, 70.53080605373667, 178.9573442740657]"
11,"[6558, 7771, 7959, 5377, 3454, 9801, 2483, 4284, 6864, 7240]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.1034711868043676, 1.3371676445370195, 1.7857439514591191, 2.5938846545761067, 4.209903466862895, 7.6904671188654286, 15.374476754917822, 33.399995658269034, 80.50835837281649, 210.76641534673686]"
12,"[9120, 3764, 4183, 3665, 7561, 1040, 8260, 1652, 4900, 2934]","[1, 1, 1, 1, 1, 1, 1, 1, -1, -1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, -91.10564583199599, 248.31319631613644]","[1, 1.1041319776317804, 1.3400323996239178, 1.8025487384183208, 2.6292581983575496, 4.197398876032484, 7.555709923255541, 14.964655576121013, 32.48108058589811, -76.30259254458409, 197.34043049071445]"
13,"[5284, 3938, 4114, 9661, 382, 3617, 2755, 9709, 2415, 6844]","[1, -1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.1054661554429974, -1.3509409078031271, -1.825041336375937, -2.725552231681009, -4.499681390314641, -8.212104537845768, -16.568096887613898, -36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0968350218918987, -1.3299380754177001, -1.7878871295737084, -2.6186367783683293, -4.266991880898121, -7.423603173799777, -14.529074402769291, -31.62858701461514, 14.85983178480887, 59.90474433721691]"
14,"[909, 517, 8324, 421, 8178, 9677, 7038, 9184, 7699, 7364]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0791542957050322, 1.2959095790593835, 1.6900047231467732, 2.4697863673124427, 4.062493539364634, 7.004244131392033, 13.848630012892118, 30.031319640719477, 68.34216617358388, 179.49539398851076]"
15,"[8873, 4104, 1715, 8625, 7682, 2041, 3858, 8774, 6706, 7128]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0994726544906166, 1.3331383271406922, 1.7875427495512548, 2.643583698511099, 4.3317531367481354, 7.705975224470655, 15.344689943433345, 33.03036004492483, 77.09717605053237, 210.11732366770158]"
16,"[2516, 6, 247, 3281, 1872, 4709, 289, 7330, 6574, 7877]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.1014611525677547, 1.3370850933941945, 1.7782023367898425, 2.576170494647005, 4.036860654110336, 6.825272919689723, 13.44938523166513, 27.432670099541504, 60.203561422402075, 157.4701931220336]"
17,"[6781, 7187, 7824, 7177, 7712, 7316, 4266, 3497, 3584, 7404]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, -4.499681390314641, -8.212104537845768, -16.568096887613898, -36.95185396426304, -91.10564583199599, -248.31319631613644]","[1, 1.098850870024309, 1.3056737841718968, 1.6970071364843913, 2.533345323060893, -4.123413490656954, -7.209492355829885, -14.000562890835244, -30.127390314420072, -73.48331601027402, -189.1044128464843]"
18,"[202, 6041, 9388, 93, 4216, 8335, 9001, 9254, 5168, 8083]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0988250694693935, 1.3331832687865568, 1.7655926445033425, 2.5464038483299034, 3.935897787508538, 7.073247153066251, 13.338076381330929, 28.138548060169395, 66.49191871824844, 168.09282828517382]"
19,"[6642, 9517, 7245, 6444, 4581, 5594, 7418, 5444, 1104, 9318]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, -1.825041336375937, -2.725552231681009, -4.499681390314641, -8.212104537845768, -16.568096887613898, -36.95185396426304, -91.10564583199599, -248.31319631613644]","[1, 1.102103728070629, 1.3369963010042893, -1.789794417349635, -2.658873857979142, -4.267671231393726, -7.581816689901109, -14.997073037567333, -32.715619510455156, -78.27769457875574, -195.04017617400794]"
20,"[685, 7717, 3155, 1848, 9393, 2194, 5287, 2465, 6633, 9230]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1054661554429974, -1.3509409078031271, -1.825041336375937, -2.725552231681009, -4.499681390314641, -8.212104537845768, -16.568096887613898, -36.95185396426304, -91.10564583199599, -248.31319631613644]","[1, -1.0988250675413038, -1.3267570118701948, -1.7336340252176954, -2.519432850338137, -4.088637060837186, -7.081125891670394, -13.133986186563767, -26.40989494900543, -59.64853125280168, -134.91371048858286]"
21,"[9939, 2519, 3106, 7266, 426, 7164, 2048, 801, 5489, 7688]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, -16.568096887613898, -36.95185396426304, -91.10564583199599, -248.31319631613644]","[1, 1.094192546131838, 1.3178987902731274, 1.7664228359811085, 2.640865967765154, 4.28097306997091, 7.5909959101260425, -14.12663509131849, -30.341204518728848, -72.0194358868939, -184.7754645800485]"
22,"[8115, 8427, 5516, 4863, 6076, 8072, 2785, 7917, 5801, 6864]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.1021468105928383, 1.3404175923825465, 1.7922401572944413, 2.6122832744838247, 4.268495031613418, 7.753748686442846, 14.747776803461617, 31.164013793929364, 69.45552618769568, 181.78813830224638]"
23,"[1937, 4454, 6348, 4013, 4518, 3316, 313, 7300, 9190, 1775]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1054661554429974, -1.3509409078031271, -1.825041336375937, -2.725552231681009, -4.499681390314641, -8.212104537845768, -16.568096887613898, -36.95185396426304, -91.10564583199599, -248.31319631613644]","[1, -1.1021404063804925, -1.3297726589351582, -1.761150111643344, -2.576087059576517, -4.133027831130456, -7.11468469811049, -13.204515225005919, -28.049603352697527, -62.49197197144089, -159.9941998405259]"
24,"[4393, 1083, 8751, 5464, 2779, 9743, 2918, 4057, 6765, 1976]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.1021310586981963, 1.3290350609178871, 1.765619389592973, 2.556714052474138, 3.9543657703209667, 7.139554066072762, 13.462505552890134, 28.006986270475757, 65.3676507634191, 154.20098190795798]"
25,"[5353, 3449, 9970, 9213, 8561, 8571, 8978, 410, 2563, 6732]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0988346680700594, 1.320942672546336, 1.766264293999874, 2.554538039176129, 4.016563793524786, 7.219381415594505, 13.939014164271407, 30.382322098828332, 74.72035123682929, 197.93497643551655]"
26,"[3066, 1409, 2274, 6216, 532, 3590, 7940, 9196, 4489, 1086]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.1039991522168353, 1.347730828873916, 1.814269413896302, 2.658177792919693, 4.297397152731232, 7.832021816503256, 15.556227387691605, 33.836770087816454, 80.7820201612107, 202.90832268963314]"
27,"[494, 7591, 3945, 60, 2879, 915, 4379, 6478, 6523, 1540]","[1, 1, 1, -1, 1, 1, 1, 1, 1, -1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, -2.725552231681009, -4.499681390314641, -8.212104537845768, -16.568096887613898, -36.95185396426304, -91.10564583199599, 248.31319631613644]","[1, 1.1001732698788467, 1.3205834709139317, 1.7459718855678308, -2.605492458438633, -4.211384175365165, -7.685716371117549, -15.057565715768899, -32.62844451013912, -75.56667119287707, 192.47726630984567]"
28,"[6151, 2017, 9169, 1502, 1393, 30, 9628, 1420, 5397, 4333]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0942086175202808, 1.3211908753911008, 1.7225219576873798, 2.399775826828497, 3.7130903977250576, 6.131815139728788, 10.237479176898036, 22.72554898007291, 51.22513266142261, 116.65260164561326]"
29,"[2799, 8729, 290, 9730, 2268, 3180, 5011, 4944, 3701, 8255]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.0988410202583496, 1.3393806172067944, 1.7916418233828197, 2.6091146310378313, 4.21940869901259, 7.603144639191173, 14.593779549942916, 30.331413956546598, 68.95346535427063, 167.3748626488384]"
30,"[9953, 6966, 9085, 6760, 656, 7468, 107, 3366, 4020, 243]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.3509409078031271, 1.825041336375937, 2.725552231681009, 4.499681390314641, 8.212104537845768, 16.568096887613898, 36.95185396426304, 91.10564583199599, 248.31319631613644]","[1, 1.1021561386557757, 1.310193685764456, 1.733595864972474, 2.5212126599127593, 3.9777979627742135, 6.862786088532844, 12.915117135201525, 28.804607164552806, 62.39971352991823, 161.0562470580054]"
