x,y,z
1.0,11.666666666666666,35631267840
1.1,12.0,38810419200
1.2,12.333333333333334,44407193600
1.3,13.0,63977117013.33333333333333333
1.4,13.0,69974971733.33333333333333333
1.5,13.0,71974256640
1.6,13.0,71974256640
1.7000000000000002,13.0,75972826453.33333333333333333
1.8,13.0,75972826453.33333333333333333
1.9,13.0,77972111360
2.0,13.666666666666666,89422561280
2.1,13.666666666666666,99223251626.66666666666666667
2.2,14.666666666666666,114700233386.6666666666666667
2.3,15.0,123312537600
2.4000000000000004,15.0,123312537600
2.5,16.0,137796867413.3333333333333333
2.6,16.0,147639500800
2.7,17.0,160432128000
2.8,17.666666666666668,174273331200
2.9000000000000004,18.0,185444160853.3333333333333333
